#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Sympathy is a knife","Charli xcx",69,132,"undefined","BRAT",2024-06-07,02:31,72,71,5,0,58,0,40,-6,,4,2025-08-22,5c9tBmJKbTdn1vhzXHeAwW,,USAT22401343
2,"Juno","Sabrina Carpenter",83,131,"undefined","Short n' Sweet",2024-08-23,03:43,63,73,5,0,64,0,20,-4,,4,2025-08-22,21B4gaTWnTkuSh77iWEXdS,,USUM72404107
3,"16 CARRIAGES","Beyoncé",63,127,"undefined","COWBOY CARTER",2024-03-29,03:47,53,46,38,0,34,0,10,-7,,4,2025-08-22,6XXxKsu3RJeN3ZvbMYrgQW,,USSM12401304
4,"CHIHIRO","Billie Eilish",87,110,"undefined","HIT ME HARD AND SOFT",2024-05-17,05:03,70,43,14,88,52,0,0,-13,,4,2025-08-22,7BRD7x5pt8Lqa1eGYC4dzj,,USUM72401988
5,"we can't be friends (wait for your love)","Ariana Grande",79,116,"undefined","eternal sunshine",2024-03-08,03:48,65,65,6,0,30,0,0,-8,,4,2025-08-22,46kspZSY3aKmwQe7O77fCC,,USUM72317276
6,"Fortnight (feat. Post Malone)","Taylor Swift,Post Malone",83,192,"undefined","THE TORTURED POETS DEPARTMENT",2024-04-18,03:48,50,39,50,0,28,0,10,-11,,4,2025-08-22,2OzhQlSqBEmt7hmkYxfT6m,,USUG12401028
7,"Happy Mistake","Lady Gaga",54,83,"undefined","Harlequin",2024-09-27,04:05,42,29,19,0,16,0,10,-8,,4,2025-08-22,5DQIZ8XC0EP7cfRFrtzY5h,,USUG12405111
8,"Juna","Clairo",80,142,"undefined","Charm",2024-07-12,03:15,61,71,24,10,45,0,10,-6,,4,2025-08-22,2mWfVxEo4xZYDaz0v7hYrN,,USA2P2416229
9,"Floating On A Moment","Beth Gibbons",45,140,"undefined","Lives Outgrown",2024-05-17,05:26,48,42,60,4,16,0,0,-11,,4,2025-08-22,0WH39BFVGotzXe3torfzvK,,GBCEL2100652
10,"Jump","Tyla,Gunna,Skillibeng",47,100,"undefined","TYLA +",2024-10-11,02:27,79,72,3,0,63,0,20,-3,,4,2025-08-25,6LbhgEvVAbkNaKYDvmhUW2,,USSM12308661
11,"Image","Magdalena Bay",68,128,"undefined","Imaginal Disk",2024-08-23,03:32,61,86,0,17,85,0,10,-6,,3,2025-08-22,0QW0KPBXXv67haGjbtkRRB,,USQE92400097
12,"Igual Que Un Ángel (with Peso Pluma)","Kali Uchis,Peso Pluma",77,108,"undefined","ORQUÍDEAS",2024-01-12,04:20,70,59,0,0,48,0,10,-5,,4,2025-08-22,6XaJfhwof7qIgbbXO5tIQI,,USUM72315072
13,"Free Fall (feat. J. Cole)","Tems,J. Cole",64,92,"undefined","Born in the Wild",2024-06-06,03:12,74,53,47,4,80,0,10,-7,,4,2025-08-22,3cuUZnjDwk4cUJCFinYbAC,,USRC12401742
14,"HE KNOWS (feat. Lil Nas X)","Camila Cabello,Lil Nas X",58,125,"undefined","C,XOXO",2024-06-28,03:01,75,69,8,0,45,10,10,-7,,4,2025-08-22,5TdrCQVt3l1uEz3pFdTgXC,,USUG12402116
15,"Puntería","Shakira,Cardi B",64,120,"undefined","Las Mujeres Ya No Lloran",2024-03-22,03:01,86,73,2,0,81,0,10,-4,,4,2025-08-23,2dYXrWkNO40NXy2Q3IYLRc,,USQX92400523
16,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",84,128,"undefined","F-1 Trillion",2024-08-15,02:58,64,87,1,0,75,0,20,-5,,4,2025-08-22,5IZXB5IKAD2qlvTPJYDCFB,,USUM72404990
17,"No Angels","Justin Timberlake",51,112,"undefined","Everything I Thought It Was",2024-03-15,03:28,85,65,14,0,65,0,0,-6,,4,2025-08-22,3Llg6UrxeStZxQJNjEQrlM,,USRC12400002
18,"Deeper Well","Kacey Musgraves",67,110,"undefined","Deeper Well",2024-03-15,03:52,45,53,46,0,35,0,10,-8,,4,2025-08-22,333XFHKsHU0pOocFzBgrJi,,USUM72316291
19,"ARTIFICIAL (feat. JID)","Katy Perry,JID",52,129,"undefined","143",2024-09-20,02:43,72,51,1,0,14,0,30,-7,,4,2025-08-22,3UxPCKSa8fPIhP7KMSD0HW,,USUM72407749
20,"Houdini","Dua Lipa",81,117,"undefined","Radical Optimism",2024-05-03,03:05,74,79,0,0,87,0,0,-5,,4,2025-08-22,6D8y7Bck8h11byRY88Pt2z,,GBAHT2301246
21,"Can't Get Enough","Jennifer Lopez",29,100,"undefined","This Is Me...Now (Deluxe)",2024-02-16,03:06,77,75,0,0,64,0,0,-3,,4,2025-08-22,6SSZfUwJuFmPvLssmMhTMj,,QMRSZ2301148
22,"Little Wing","Sia",40,160,"undefined","Reasonable Woman",2024-05-03,03:18,51,69,0,0,14,0,10,-4,,4,2025-08-22,4ZK786lHXz8nZ8NwODGc6L,,USAT22400523
23,"Ruined","Adrianne Lenker",47,109,"undefined","Bright Future",2024-03-22,04:32,40,13,98,0,16,0,0,-12,,4,2025-08-22,3cGZNocKeVtXgjugVYuMyi,,GBAFL2300323
24,"Can't Tame Her","Zara Larsson",50,182,"undefined","VENUS",2024-02-09,03:16,57,91,1,0,55,10,10,-3,,4,2025-08-22,1G1kKHczSz6Xqv5dCmtkL4,,USSM12210918
25,"Stardust","ZAYN",59,120,"undefined","ROOM UNDER THE STAIRS",2024-05-17,03:52,63,66,39,0,65,0,10,-6,,4,2025-08-22,4266h07udCdZ83jswW10IG,,USUG12401420
26,"reincarnated","Kendrick Lamar",72,91,"undefined","GNX",2024-11-22,04:35,85,78,5,0,75,20,30,-5,,4,2025-08-22,0RgjEkSbeuStKfT2Pa4Zai,,USUG12408500
27,"Trae The Truth in Ibiza","J. Cole",63,158,"undefined","Might Delete Later",2024-04-05,04:15,49,59,12,0,53,10,30,-8,,3,2025-08-22,4E2fOeF5A6onC10OtnjXJa,,USUG12402412
28,"Like That","Future,Metro Boomin,Kendrick Lamar",82,162,"undefined","WE DON'T TRUST YOU",2024-03-22,04:27,81,68,1,0,31,20,10,-5,,4,2025-08-22,2tudvzsrR56uom6smgOcSf,,USSM12402041
29,"Show of Hands","Future,Metro Boomin,A$AP Rocky",58,137,"undefined","WE STILL DON'T TRUST YOU",2024-04-12,03:33,78,72,4,0,38,30,40,-4,,4,2025-08-22,0cGn4vxyoBftN61XUv2aQk,,USSM12403211
30,"LIL DEMON","Future",74,131,"undefined","MIXTAPE PLUTO",2024-09-20,02:19,86,75,0,0,30,0,0,-6,,4,2025-08-22,3aCPResPDNae3pXTocGpYe,,USSM12406727
31,"BURN","¥$,Kanye West,Ty Dolla $ign",72,105,"undefined","VULTURES 1",2024-02-09,01:51,60,88,2,0,72,30,80,-6,,4,2025-08-22,7BPadP3q9qwMkho3IMPU99,,QZ7XS2400009
32,"SLIDE","¥$,Kanye West,Ty Dolla $ign",57,108,"undefined","VULTURES 2",2024-08-03,03:17,75,80,3,0,44,0,10,-6,,4,2025-08-22,5MGMXOhVvwzCjFgdQsFokR,,TLVEM2467039
33,"COLE PIMP (with Ty Dolla $ign & Juicy J)","Denzel Curry,Ty Dolla $ign,Juicy J",52,156,"undefined","King Of The Mischievous South Vol. 2",2024-07-19,03:38,58,82,60,0,76,10,10,-6,,4,2025-08-22,4vdDAdLtmTqFR1J4AO4cBf,,USC4R2443043
34,"Like Him (feat. Lola Young)","Tyler, The Creator,Lola Young",86,96,"undefined","CHROMAKOPIA",2024-10-28,04:38,39,56,29,0,19,0,10,-7,,3,2025-08-22,6jbYpRPTEFl1HFKHk1IC0m,,USQX92405794
35,"either on or off the drugs","JPEGMAFIA",64,184,"undefined","I LAY DOWN MY LIFE FOR YOU",2024-08-01,02:20,51,61,15,0,63,10,70,-6,,3,2025-08-22,3EWaU5exMayFzQMkIfTX7w,,QM7282468581
36,"Étouffée","Vince Staples",55,135,"undefined","Dark Times",2024-05-24,04:28,55,71,15,7,47,40,20,-8,,5,2025-08-22,592A3x9nMXoL3Ay5rKgSwW,,USUM72404697
37,"THank god 4 me","ScHoolboy Q",58,136,"undefined","BLUE LIPS",2024-03-01,02:57,73,57,64,0,42,10,10,-8,,4,2025-08-22,7CwO2esrH095tjxmJVMY2E,,USUM72401064
38,"Cosmo Freestyle","Freddie Gibbs",49,77,"undefined","You Only Die 1nce",2024-10-31,03:04,73,83,21,0,65,20,10,-5,,4,2025-08-22,7rOMXlhgozetHpzmJciBjm,,QMDA62478842
39,"DENIAL IS A RIVER","Doechii",81,93,"undefined","Alligator Bites Never Heal",2024-08-30,02:39,83,64,9,0,62,30,0,-3,,4,2025-08-22,1eTaznNW4Xxtx9za2SMTXB,,USUG12405664
40,"3:AM (feat. Erykah Badu)","Rapsody,Erykah Badu",41,89,"undefined","Please Don't Cry",2024-05-17,03:33,53,59,65,0,64,30,10,-6,,4,2025-08-22,44BRidSOFkXcKH3oZzHKdR,,QMJMT2405253
41,"Still Praying","Westside Gunn,DJ Drama,Stove God Cooks,Benny The Butcher,Conway the Machine,Boldy James",37,127,"undefined","Still Praying",2024-11-01,06:57,50,56,9,0,5,0,10,-7,,4,2025-08-22,4iRh9CuSqd3aF2jSA1v6Xj,,QZS7J2415851
42,"redrum","21 Savage",79,172,"undefined","american dream",2024-01-12,04:30,63,73,1,0,24,0,30,-9,,4,2025-08-22,52eIcoLUM25zbQupAZYoFh,,USSM12309164
43,"Lithonia","Childish Gambino",59,140,"undefined","Lithonia",2024-07-02,02:59,42,38,9,0,17,0,10,-8,,4,2025-08-22,4JfpJrrGNXRj2yXm1fYV23,,USRC12402124
44,"Fuel","Eminem,JID",71,138,"undefined","The Death of Slim Shady (Coup De Grâce)",2024-07-12,03:33,89,66,12,0,12,10,10,-5,,4,2025-08-22,5In8B6Om5OKrhwBMB4tXSi,,USUG12403410
45,"Dreamin'","Common,Pete Rock",39,89,"undefined","The Auditorium Vol. 1",2024-07-12,04:00,64,87,7,0,60,20,40,-3,,4,2025-08-22,7qiCLJzwFyyyjckrYHVkOh,,USC4R2443030
46,"WalkOnBy (feat. Earl Sweatshirt & Rae Khalil)","NxWorries,Anderson .Paak,Knxwledge,Earl Sweatshirt,Rae Khalil",47,152,"undefined","Why Lawd?",2024-06-14,03:47,60,73,5,0,71,20,10,-11,,4,2025-08-22,36dXojpK4JbefZoCLRVVMF,,US2S72400018
47,"one of wun","Gunna",80,140,"undefined","One of Wun",2024-05-10,02:24,92,45,9,0,29,20,10,-5,,4,2025-08-22,4Na2HfNSr58chvfX69fy36,,USAT22403437
48,"Banded Up - feat. Tierra Whack","Chief Keef,Tierra Whack",40,155,"undefined","Almighty So 2",2024-05-10,04:26,65,69,0,0,19,0,30,-5,,4,2025-08-22,7tmgmrJYAGshsUHUNWPMlO,,QMRSZ2203237
49,"Good Good","USHER,Summer Walker,21 Savage",55,141,"undefined","COMING HOME",2024-02-09,04:07,74,68,4,0,57,10,10,-5,,4,2025-08-22,3jK1QRugwuAKAKOrtac7a2,,QZS7J2331813
50,"BLUE SKY","Kid Cudi",51,90,"undefined","INSANO",2024-01-12,03:41,66,60,57,1,40,0,0,-7,,4,2025-08-22,74uNMBwFmCG9OXHg5LX16K,,USUM72312226
51,"Fire in These Hills","Imagine Dragons",66,125,"undefined","LOOM",2024-06-28,03:39,66,52,15,0,27,0,10,-8,,4,2025-08-22,2Morv8EWzWFsfbqG8vdUfy,,USUM72404005
52,"Next Semester","Twenty One Pilots",68,175,"undefined","Clancy",2024-05-24,03:54,23,82,2,0,13,10,10,-5,,4,2025-08-22,1BANPzYIhCQkJ1ZFq2Fb0O,,USAT22402063
53,"WE PRAY","Coldplay,Little Simz,Burna Boy,Elyanna,TINI",69,136,"undefined","Moon Music",2024-10-04,03:53,75,52,7,0,67,0,0,-8,,4,2025-08-23,7xrEnNo99wrmIs8ZK3RZMK,,GBAYE2400890
54,"Scared Of Fear","Pearl Jam",46,168,"undefined","Dark Matter",2024-04-19,04:24,26,92,0,0,36,10,10,-4,,4,2025-08-22,5zAga8KU22nzojKc6ZBWOV,,USUG12309751
55,"Dilemma","Green Day",61,120,"undefined","Saviors",2024-01-19,03:18,55,89,0,0,67,0,20,-3,,4,2025-08-22,4NrGMEm5SvvpJ9Tk1Rq3cP,,USRE12201093
56,"The Emptiness Machine","Linkin Park",78,184,"undefined","The Emptiness Machine",2024-09-05,03:10,47,87,2,0,81,0,10,-3,,4,2025-08-22,2PnlsTsOTLE5jnBnNe2K0A,,USWB12403464
57,"Waves","Bon Jovi",37,160,"undefined","Forever",2024-06-07,03:52,43,78,1,0,34,0,10,-6,,4,2025-08-22,3fRs5XDtcKe3TzFTlsqIOv,,USUG12401207
58,"BYE BYE","Kim Gordon",35,146,"undefined","The Collective",2024-03-08,04:14,59,42,0,56,4,0,10,-9,,4,2025-08-22,3b34EvMAFHcdRBujeo9e6t,,USMTD2300380
59,"Hope","Vampire Weekend",43,148,"undefined","Only God Was Above Us",2024-04-05,07:57,52,66,4,0,35,0,10,-6,,4,2025-08-22,5sBrebz7XnIbwSdWgWasLr,,USSM12400086
60,"Suffocate (feat. Poppy)","Knocked Loose,Poppy",63,170,"undefined","You Won't Go Before You're Supposed To",2024-05-10,02:44,24,99,0,1,12,30,50,-3,,4,2025-08-22,6PXYOVPBzO3xojFhQAvmde,,USSTT2400028
61,"Burn Alive","The Last Dinner Party",57,111,"undefined","Prelude to Ecstasy",2024-02-02,03:21,60,73,0,0,29,0,0,-5,,4,2025-08-22,54wX7jxwKL2TQS9itIIMyJ,,GBUM72309267
62,"Dusk","Chelsea Wolfe",41,96,"undefined","She Reaches Out To She Reaches Out To She",2024-02-09,04:34,37,59,3,5,7,0,10,-6,,4,2025-08-22,2zj5pSP9CoOTCDRfBN2zCq,,USC4R2337037
63,"I Love You Tonite","Johnny Cash",39,87,"undefined","Songwriter",2024-06-28,03:19,69,31,65,0,48,0,0,-10,,4,2025-08-22,1PXOXSHIkcVtvMuHbOefH3,,USUM72403302
64,"Alone","The Cure",48,100,"undefined","Alone",2024-09-26,06:48,46,88,0,21,14,0,30,-5,,4,2025-08-22,7zHhP0CHO4cONkImJ0Oau6,,GBUM72403962
65,"Crossroads feat. Gary Clark Jr.","Slash,Gary Clark Jr.",36,126,"undefined","Orgy of the Damned",2024-05-17,05:34,54,89,0,1,48,0,30,-7,,4,2025-08-22,6IgPgkDiKtlPmrFBhqlTmu,,QZWH32400005
66,"Eternity Has Failed","Bruce Dickinson",33,106,"undefined","The Mandrake Project",2024-03-01,06:58,46,85,0,0,14,0,10,-7,,4,2025-08-22,42dYIi8ZqBoXup6fPyETsJ,,GBCHB2300006
67,"AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw)","Bring Me The Horizon,Lil Uzi Vert,Daryl Palumbo,Glassjaw",59,105,"undefined","POST HUMAN: NeX GEn",2024-05-24,03:09,46,94,0,0,34,10,50,-3,,3,2025-08-22,1EQgXWPkU96b4tw3pJtTp1,,GBARL2300647
68,"Pictures of You","Deep Purple",34,96,"undefined","=1",2024-07-19,03:51,44,91,1,0,19,0,20,-2,,4,2025-08-22,6vS3Tx1vR80vXENELsLv79,,DEH842400081
69,"Light It Up","The Offspring",48,167,"undefined","SUPERCHARGED",2024-10-11,02:52,50,99,0,0,70,10,50,-1,,4,2025-08-22,6Hqpak2C21R2Qd448RGm7a,,USC4R2444621
70,"Raise The Red Flag","Marilyn Manson",52,105,"undefined","One Assassination Under God - Chapter 1",2024-11-22,04:49,50,93,0,0,14,10,0,-4,,4,2025-08-22,6HoG86o30Of44nHXj1g9KT,,DED832400290
71,"West Coast","OneRepublic",55,134,"undefined","Artificial Paradise (Deluxe)",2024-07-12,03:14,69,70,36,0,90,0,0,-8,,4,2025-08-22,3wSKESVpeeRrShLTe3tpN1,,USUM72202540
72,"Mother Nature","MGMT",45,82,"undefined","Loss Of Life",2024-02-23,03:56,43,74,15,0,44,0,0,-5,,4,2025-08-22,2oneWrwEcphxoHzOUyod7e,,USQE92300110
73,"King of Sweden","Future Islands",53,140,"undefined","People Who Aren’t There Anymore",2024-01-26,04:11,61,83,1,53,66,0,10,-6,,4,2025-08-22,72sMWFwbQq4kQ6EqnWdUZf,,GBAFL2200001
74,"Edin","The Smashing Pumpkins",46,108,"undefined","Aghori Mhori Mei",2024-08-02,06:46,57,66,0,31,7,0,10,-7,,4,2025-08-22,2ke0JieG5ZSc0hP7xouNeR,,QM6P42495479
75,"Conversion","Nick Cave & The Bad Seeds",42,134,"undefined","Wild God",2024-08-30,05:17,25,42,39,0,7,0,40,-8,,4,2025-08-22,2LBajJfEirkXT6ja0XzIHf,,GBSG42400006
76,"Savage Funk","Anitta",60,130,"undefined","Funk Generation",2024-04-26,01:23,89,68,22,0,39,10,10,-5,,4,2025-08-22,5ZfMBw3QdSMAHSEDa8FoA0,,USUG12402056
77,"Capa De Revista","Anitta",57,130,"undefined","Ensaios Da Anitta",2024-12-06,02:22,76,94,5,0,60,0,0,-2,,4,2025-08-22,0PNwMRlZgwoWVe0idfGQPH,,BRUM72402721
78,"Maliciosa - Ao Vivo","LUDMILLA",68,176,"undefined","Maliciosa (Ao Vivo)",2024-01-18,02:47,61,81,81,0,68,10,30,-7,,4,2025-08-22,3vCH7bgO37Cx4dOIUlX9sv,,BKSQE2400001
79,"Lua","Ana Castela,Hungria,Alok",54,130,"undefined","Boiadeira Internacional (Ao Vivo)",2024-02-23,03:26,67,84,31,0,34,0,20,-4,,4,2025-08-22,6r6wTVl7sBndpdlzBSEYnF,,BKA7Y2400021
80,"Isso é Sério","Matuê,Brandão85",71,80,"undefined","333",2024-09-09,04:45,64,81,36,0,58,20,10,-3,,4,2025-08-22,3Sa2gVQioE31DcG4nKNDqD,,BXW922400055
81,"Nosso Primeiro Beijo - Ao Vivo","Gloria Groove",74,134,"undefined","Serenata da GG, Vol. 1 (Ao Vivo)",2024-05-30,02:48,51,68,72,0,68,0,90,-7,,4,2025-08-22,7Elw15XWLpOi4qzHyAwa9e,,BXSBS2300055
82,"Torce o Olho - Ao Vivo","Gusttavo Lima,Hugo & Guilherme",53,144,"undefined","Paraíso Particular (Ao Vivo)",2024-04-11,02:47,67,70,49,0,71,0,80,-5,,4,2025-08-22,1CJnFX2V9CEUWrnrNGa60b,,BXBAL2300132
83,"ESCADA DO PRÉDIO","PEDRO SAMPAIO,Marina Sena",60,132,"undefined","ESCADA DO PRÉDIO",2024-09-03,02:17,89,53,56,0,78,0,10,-5,,4,2025-08-22,560vXBs6hssdrdOw13QPl9,,BRWMB2400943
84,"PASSADO DE UM VILÃO","Alee",61,140,"undefined","CAOS",2024-09-23,02:44,64,76,3,0,58,0,50,-8,,4,2025-08-22,5gXH6r92zVkhgP1BF73J4b,,BKNDN2400089
85,"Embalo","Ryu, The Runner,Yunk Vino,Teto",54,93,"undefined","SEMRÉH",2024-05-23,03:05,54,60,16,0,58,30,10,-6,,5,2025-08-22,616O3f20hgTgpmiZf7XgEI,,BRRGE2400153
86,"CÂMERA LENTA","Nagalli,Supernova Ent,Ryu, The Runner,Luccas Carlos",50,128,"undefined","MAGIC SHOW",2024-04-25,02:54,83,56,37,0,65,10,20,-5,,3,2025-08-22,0xDEgXt5rP6I5uwJoFk0kR,,BKSUV2400019
87,"Não Temos Medo","Tz da Coronel",68,128,"undefined","Direto da Selva",2024-06-27,02:15,76,48,64,0,70,10,30,-7,,4,2025-08-22,5rRlZJz8A17nqeKLdjDvsx,,BC2TS2400013
88,"Erasmo Esteves (Tijuca Maluca)","Erasmo Carlos,Rubel,Emicida",27,172,"undefined","Erasmo Esteves",2024-05-03,04:34,55,69,74,0,90,0,50,-10,,4,2025-08-22,4w4Jqi1hrVol86IBNw4Yql,,BRRGE2400199
89,"Cowabunga!","Jotapê,Nle Doprê,Brennuz,Barretinho,IWally,Marabá",39,144,"undefined","LáDoEsgoto",2024-07-03,03:24,67,78,37,0,50,20,20,-4,,4,2025-08-22,6IeJOZy0YiHhSMEnLQDAsA,,BXJK02400061
90,"Diz Aí Qual é o Plano?","Mc IG,MC Ryan SP,Oruam,MC PH,Mc Poze do Rodo,MC GP,TrapLaudo,Mc Luki,MC GH do 7,MC Nego Micha,Murillo e LT no Beat",61,72,"undefined","Todo Mundo Odeia o IG",2024-03-21,11:43,59,58,35,0,58,50,0,-4,,5,2025-08-22,7pnqm6UEb7SzpDxb53wULT,,BRWMB2400220
91,"Vem Desestressar","MC PH,Vulgo FK,Veigh,Pedro Lotto,prodbyeros",64,124,"undefined","O Cara Do Momento, Vol. 2",2024-04-10,04:03,77,54,34,0,54,0,10,-8,,4,2025-08-23,5jrQZnYInM6YUjr2yFSa3E,,BXG6R2400152
92,"Rainha da Finesse","WIU",67,130,"undefined","Vagabundo de Luxo",2024-07-10,02:46,79,85,55,0,65,0,10,-2,,4,2025-08-22,0w7vodPWFEcuEYvWpbNbOu,,BXW922400005
93,"Diferentão - Ao Vivo","Dilsinho",33,95,"undefined","Diferentão 2 (Ao Vivo)",2024-06-06,03:03,69,80,56,0,91,0,50,-7,,4,2025-08-22,1TfsRE0WGbCxjhWgg164qQ,,BCG3G2400025
94,"Eu vs Me","Yunk Vino,Galdino,Honaiser,Nagalli",45,127,"undefined","M.A.D 2",2024-08-09,02:49,61,51,8,0,56,0,10,-8,,4,2025-08-22,7dwPbTsu0POrSie5xkMGpN,,BXBGP2400037
95,"Vamo Marolar","L7NNON,MC Cabelinho,Palma,HHR",57,119,"undefined","Vamo Marolar",2024-03-28,03:01,94,45,27,0,56,30,10,-6,,4,2025-08-22,6VzrPxShPXVXRLig62vl2p,,BR5TG2400061
96,"Segue o Jogo","Samuel Rosa",32,136,"undefined","Rosa",2024-06-27,03:42,75,65,7,0,82,0,0,-9,,4,2025-08-22,17sbwALPLff4Z1499EYNaF,,BCS162400008
97,"CAJU","Liniker",67,140,"undefined","CAJU",2024-08-19,04:26,65,65,51,0,66,10,50,-7,,4,2025-08-22,7tmvvRmUqzCRjRx9ub8K7i,,BK20B2400014
98,"SAUDADE DE VOCÊ","DUDA BEAT",49,128,"undefined","Tara e Tal",2024-04-12,03:56,78,82,13,0,79,0,40,-7,,4,2025-08-22,76K91k1A3S7GHe5GmALuO9,,BRUM72301394
99,"Vida Rasa","Orochi,Mainstreet,MC Cabelinho,RUXN,Palma",60,125,"undefined","442",2024-02-27,02:05,70,68,18,0,31,0,10,-6,,4,2025-08-22,5t2RXNtjGIzKPGiNYSU6FG,,BCM9A2400005
